kc_id,kc_name,kc_name_es,route_group,route_group_es,route_leaf,route_leaf_es,n_total,accuracy_total,n_first,n_repeat,accuracy_first,accuracy_repeat,delta_repeat_minus_first
206,必填符号型,Tipo de símbolo requerido,拓展思维,Expande tu pensamiento,必填符号型,Tipo de símbolo requerido,12095,0.833485,11931,164,0.83195,0.945122,0.113172
214,加法拆数（应用）,Sumar y dividir números (aplicación),拓展思维,Expande tu pensamiento,加法拆数（应用）,Sumar y dividir números (aplicación),12002,0.708215,11327,675,0.698949,0.863704,0.164754
179,整数差倍,diferencia entera,拓展思维,Expande tu pensamiento,整数差倍,diferencia entera,11817,0.769908,8553,3264,0.787443,0.723958,-0.063485
88,平行四边形的面积公式,Fórmula del área del paralelogramo,拓展思维,Expande tu pensamiento,平行四边形的面积公式,Fórmula del área del paralelogramo,11813,0.803522,9390,2423,0.775825,0.910854,0.135029
108,奇数与偶数的应用,Aplicaciones de números pares e impares,拓展思维,Expande tu pensamiento,奇数与偶数的应用,Aplicaciones de números pares e impares,11684,0.815046,11209,475,0.814792,0.821053,0.006261
140,巧求周长,Encuentra la circunferencia hábilmente.,拓展思维,Expande tu pensamiento,巧求周长,Encuentra la circunferencia hábilmente.,11608,0.78041,9859,1749,0.776651,0.801601,0.02495
104,同时出发相向而行,Salgan al mismo tiempo y caminen el uno hacia el otro.,拓展思维,Expande tu pensamiento,同时出发相向而行,Salgan al mismo tiempo y caminen el uno hacia el otro.,11451,0.819928,11433,18,0.81982,0.888889,0.069069
2,物品搭配,Coincidencia de artículos,拓展思维,Expande tu pensamiento,物品搭配,Coincidencia de artículos,11344,0.915197,9689,1655,0.92476,0.859215,-0.065546
204,四则混合运算,Cuatro operaciones mixtas,拓展思维,Expande tu pensamiento,四则混合运算,Cuatro operaciones mixtas,11288,0.867824,10246,1042,0.885516,0.693858,-0.191658
168,多量和倍,Grandes cantidades y tiempos,拓展思维,Expande tu pensamiento,多量和倍,Grandes cantidades y tiempos,11167,0.780872,10098,1069,0.782234,0.768007,-0.014227
6,几何思想平移,几何思想平移,拓展思维,Expande tu pensamiento,几何思想平移,traducción del pensamiento geométrico,11114,0.736369,9584,1530,0.774311,0.498693,-0.275619
41,正方形,cuadrado,拓展思维,Expande tu pensamiento,正方形,cuadrado,10818,0.776391,10630,188,0.774412,0.888298,0.113886
65,双归一问题,Problemas de doble reducción a la unidad,课内题型,Tipos de preguntas en clase,双归一问题,Problema de doble normalización,10788,0.796904,9561,1227,0.788934,0.859006,0.070071
188,一笔画的应用,Aplicación de un solo golpe,拓展思维,Expande tu pensamiento,一笔画的应用,Aplicación de un solo golpe,10618,0.811452,10441,177,0.817738,0.440678,-0.37706
109,奇数与偶数的混合计算,Cálculos mixtos de números pares e impares.,拓展思维,Expande tu pensamiento,奇数与偶数的混合计算,Cálculos mixtos de números pares e impares.,10557,0.793218,10557,0,0.793218,,
198,角度的计算,cálculo de ángulo,拓展思维,Expande tu pensamiento,角度的计算,cálculo de ángulo,10354,0.840834,10342,12,0.841617,0.166667,-0.67495
177,已知两量之间倍数关系和两量之差，求两个量,"Dada la relación múltiple entre las dos cantidades y la diferencia entre las dos cantidades, encuentre las dos cantidades",课内题型,Tipos de preguntas en clase,已知两量之间倍数关系和两量之差，求两个量,"Dada la relación múltiple entre las dos cantidades y la diferencia entre las dos cantidades, encuentre las dos cantidades",10181,0.811806,7398,2783,0.822655,0.782968,-0.039687
170,已知两量之间倍数关系和两量之和，求两个量,"Dada la relación múltiple entre las dos cantidades y la suma de las dos cantidades, encuentre las dos cantidades",课内题型,Tipos de preguntas en clase,已知两量之间倍数关系和两量之和，求两个量,"Dada la relación múltiple entre las dos cantidades y la suma de las dos cantidades, encuentre las dos cantidades",9902,0.760452,4558,5344,0.708425,0.804828,0.096403
106,奇数与偶数的加减规律,Reglas de suma y resta de números pares e impares.,拓展思维,Expande tu pensamiento,奇数与偶数的加减规律,Reglas de suma y resta de números pares e impares.,9892,0.90467,9892,0,0.90467,,
232,加法竖式谜,Rompecabezas vertical de suma,拓展思维,Expande tu pensamiento,加法竖式谜,Rompecabezas vertical de suma,9744,0.716338,9135,609,0.716366,0.715928,-0.000438
10,长方形组合图形周长,Perímetro de forma combinada rectangular.,拓展思维,Expande tu pensamiento,长方形组合图形周长,Perímetro de forma combinada rectangular.,9604,0.732924,7477,2127,0.720877,0.77527,0.054393
14,图形认知,cognición gráfica,能力,capacidad,图形认知,cognición gráfica,9455,0.855632,4394,5061,0.841375,0.86801,0.026636
102,实践应用,Aplicación práctica,拓展思维,Expande tu pensamiento,单人简单行程问题,Pregunta de itinerario simple para una sola persona.,8961,0.819551,3154,5807,0.77045,0.84622,0.07577
64,单人简单行程问题,Pregunta de itinerario simple para una sola persona.,拓展思维,Expande tu pensamiento,单人简单行程问题,Pregunta de itinerario simple para una sola persona.,8952,0.887399,8903,49,0.887791,0.816327,-0.071464
91,两条对角线垂直的四边形的面积求法,Cómo encontrar el área de un cuadrilátero con dos diagonales perpendiculares,拓展思维,Expande tu pensamiento,两条对角线垂直的四边形的面积求法,Cómo encontrar el área de un cuadrilátero con dos diagonales perpendiculares,8753,0.766023,8753,0,0.766023,,
9,长方形周长,Perímetro del rectángulo,拓展思维,Expande tu pensamiento,长方形周长,Perímetro del rectángulo,8333,0.797792,6813,1520,0.790254,0.831579,0.041325
222,排队问题,problema de cola,拓展思维,Expande tu pensamiento,排队问题,Problemas de formación en fila,8269,0.837344,8269,0,0.837344,,
192,角的认知,cognición de ángulos,拓展思维,Expande tu pensamiento,角的认知,cognición de ángulos,8120,0.929926,6643,1477,0.92398,0.956669,0.032689
213,加法拆数（指定个数）,Sumar y dividir números (número especificado),拓展思维,Expande tu pensamiento,加法拆数（指定个数）,Sumar y dividir números (número especificado),7958,0.669138,6164,1794,0.670182,0.665552,-0.00463
187,一笔画判断,juicio de un solo golpe,拓展思维,Expande tu pensamiento,一笔画判断,juicio de un solo golpe,7923,0.822416,7923,0,0.822416,,
336,变型题,Preguntas de variación,拓展思维,Expande tu pensamiento,变型题,Preguntas de variación,7708,0.76985,6909,799,0.770444,0.764706,-0.005738
260,空心方阵基本问题,Preguntas básicas sobre la matriz de cuadrados huecos,知识点,Puntos de conocimiento,空心方阵基本问题,Preguntas básicas sobre la matriz de cuadrados huecos,7636,0.781561,7174,462,0.782687,0.764069,-0.018618
162,整数除法巧算之类分配律,Leyes distributivas como la división de enteros y cálculos inteligentes,拓展思维,Expande tu pensamiento,整数除法巧算之类分配律,Leyes distributivas como la división de enteros y cálculos inteligentes,7528,0.759431,7438,90,0.759747,0.733333,-0.026414
263,单循环赛,todos contra todos,拓展思维,Expande tu pensamiento,单循环赛,todos contra todos,7512,0.819489,4773,2739,0.804944,0.844834,0.039889
157,环形操作周期问题,Problemas del ciclo operativo circular,拓展思维,Expande tu pensamiento,环形操作周期问题,Problemas del ciclo operativo circular,7341,0.725514,7341,0,0.725514,,
200,年龄问题基本关系和差问题,Problema básico de relación y diferencia del problema de edad.,拓展思维,Expande tu pensamiento,年龄问题基本关系和差问题,Problema básico de relación y diferencia del problema de edad.,7267,0.85042,6540,727,0.85,0.854195,0.004195
139,正方形周长,perímetro del cuadrado,拓展思维,Expande tu pensamiento,正方形周长,perímetro del cuadrado,7116,0.843873,3587,3529,0.859771,0.827713,-0.032058
123,连续自然数长方形数表之已知位置求数,Cálculo de posiciones conocidas en una tabla numérica rectangular de números naturales continuos.,拓展思维,Expande tu pensamiento,连续自然数长方形数表之已知位置求数,Cálculo de posiciones conocidas en una tabla numérica rectangular de números naturales continuos.,7084,0.741813,7084,0,0.741813,,
23,整数倍数关系,Relación de múltiplos enteros,拓展思维,Expande tu pensamiento,整数倍数关系,Relación de múltiplos enteros,7053,0.850702,7053,0,0.850702,,
252,等差数列求项数,Encuentra el número de términos en una secuencia aritmética.,知识点,Puntos de conocimiento,等差数列求项数,Encuentra el número de términos en una secuencia aritmética.,6936,0.775952,5222,1714,0.755841,0.837223,0.081382
220,加减法凑整综合,"Suma, resta, redondeo y síntesis.",拓展思维,Expande tu pensamiento,加减法凑整综合,"Suma, resta, redondeo y síntesis.",6929,0.854957,4665,2264,0.838371,0.889134,0.050763
165,公式法求长方形正方形面积,Calcular el área de un rectángulo y un cuadrado usando el método de fórmula.,拓展思维,Expande tu pensamiento,长方形和正方形面积公式,Fórmulas de área para rectángulos y cuadrados.,6690,0.804185,459,6231,0.908497,0.796501,-0.111995
172,非整数倍差倍剩余,Diferencia múltiplo no entera restante,拓展思维,Expande tu pensamiento,非整数倍差倍剩余,Diferencia múltiplo no entera restante,6630,0.714329,6630,0,0.714329,,
76,条形统计图,gráfico de barras,知识点,Puntos de conocimiento,条形统计图,gráfico de barras,6554,0.868935,6554,0,0.868935,,
67,三角形,triángulo,拓展思维,Expande tu pensamiento,三角形,triángulo,6442,0.832195,5700,742,0.824912,0.88814,0.063228
58,逆运算,operación inversa,拓展思维,Expande tu pensamiento,逆运算,operación inversa,6415,0.809977,6415,0,0.809977,,
77,简单统计表,tabla estadistica sencilla,拓展思维,Expande tu pensamiento,简单统计表,tabla estadistica sencilla,6290,0.814785,6117,173,0.824914,0.456647,-0.368267
5,路线搭配问题,Problema de coincidencia de rutas,拓展思维,Expande tu pensamiento,路线搭配问题,Problemas de combinación de rutas,6277,0.890712,4089,2188,0.924921,0.826782,-0.098138
335,多笔画运用,Usa múltiples trazos,拓展思维,Expande tu pensamiento,多笔画运用,Usa múltiples trazos,6229,0.757907,6229,0,0.757907,,
448,四边形的认识,Comprensión de los cuadriláteros,拓展思维,Expande tu pensamiento,四边形的认识,Comprensión de los cuadriláteros,5916,0.843813,3111,2805,0.77017,0.92549,0.15532
272,归总问题,Resumiendo el problema,拓展思维,Expande tu pensamiento,归总问题,Resumiendo el problema,5892,0.814664,5889,3,0.814739,0.666667,-0.148073
359,找暗和,encontrar anhe,拓展思维,Expande tu pensamiento,找暗和,encontrar anhe,5695,0.810009,5657,38,0.809086,0.947368,0.138282
330,幻方数字关系,relación de números cuadrados mágicos,拓展思维,Expande tu pensamiento,幻方数字关系,relación de números cuadrados mágicos,5638,0.784143,5565,73,0.78221,0.931507,0.149297
379,给运算方法和结果，求开始,"Dado el método de operación y el resultado, encuentre el inicio.",课内题型,Tipos de preguntas en clase,给运算方法和结果，求开始,"Dado el método de operación y el resultado, encuentre el inicio.",5621,0.871375,5383,238,0.872933,0.836134,-0.036799
203,年龄问题之和倍型,Tipo de ploidía de suma del problema de edad,拓展思维,Expande tu pensamiento,年龄问题之和倍型,Tipo de ploidía de suma del problema de edad,5604,0.785153,5304,300,0.790913,0.683333,-0.107579
62,单归一问题,Problema de normalización única,课内题型,Tipos de preguntas en clase,单归一问题,Problema de normalización única,5565,0.820126,5338,227,0.822967,0.753304,-0.069663
164,整数乘除法巧算,Cálculos de multiplicación y división de números enteros.,拓展思维,Expande tu pensamiento,整数乘除法巧算,Cálculos de multiplicación y división de números enteros.,5558,0.839331,4971,587,0.833233,0.890971,0.057738
66,长方形周长公式,Fórmula del perímetro del rectángulo,课内知识点,Puntos de conocimiento en clase,长方形周长公式,Fórmula del perímetro del rectángulo,5499,0.84088,5275,224,0.848152,0.669643,-0.178509
261,空心方阵的增减,Aumento o disminución de matriz de cuadrados huecos.,拓展思维,Expande tu pensamiento,空心方阵的增减,Aumento o disminución de matriz de cuadrados huecos.,5358,0.736842,4776,582,0.795436,0.256014,-0.539422
147,先归一再归总,Reúnelo todo primero y luego resúmelo de nuevo.,拓展思维,Expande tu pensamiento,先归一再归总,Reúnelo todo primero y luego resúmelo de nuevo.,5296,0.781156,3921,1375,0.806172,0.709818,-0.096354
124,连续自然数长方形数表之已知数求位置,Encuentra la posición de los números conocidos en la tabla numérica rectangular de números naturales continuos.,拓展思维,Expande tu pensamiento,连续自然数长方形数表之已知位置求数,Cálculo de posiciones conocidas en una tabla numérica rectangular de números naturales continuos.,5080,0.726969,1016,4064,0.740157,0.723671,-0.016486
112,乘法竖式谜,Rompecabezas vertical de multiplicación,拓展思维,Expande tu pensamiento,乘法竖式谜,Rompecabezas vertical de multiplicación,5012,0.77075,5012,0,0.77075,,
135,整数系数方程,Ecuación de coeficiente entero,拓展思维,Expande tu pensamiento,整数系数方程,Ecuación de coeficiente entero,5008,0.792732,5008,0,0.792732,,
142,数字组数（不可重复）,Número de grupos numéricos (no repetibles),拓展思维,Expande tu pensamiento,数字组数（不可重复）,Número de grupos numéricos (no repetibles),4987,0.749348,4895,92,0.745863,0.934783,0.188919
258,实心方阵的增减,Aumento y disminución de matriz cuadrada sólida.,拓展思维,Expande tu pensamiento,实心方阵的增减,Aumento y disminución de matriz cuadrada sólida.,4946,0.736959,4946,0,0.736959,,
223,加法原理里的其他类型,Otros tipos en el principio de suma.,拓展思维,Expande tu pensamiento,加法原理里的其他类型,Otros tipos en el principio de suma.,4852,0.911377,4781,71,0.915081,0.661972,-0.253109
227,公式法求平行四边形面积,Encuentra el área de un paralelogramo usando el método de la fórmula.,拓展思维,Expande tu pensamiento,平行四边形的面积公式,Fórmula del área del paralelogramo,4847,0.896637,4308,539,0.910631,0.784787,-0.125845
132,年龄问题之差倍型,Tipo de ploidía de diferencia de edad,拓展思维,Expande tu pensamiento,年龄问题之差倍型,Tipo de ploidía de diferencia de edad,4808,0.726913,4806,2,0.727008,0.5,-0.227008
212,亏亏问题,problema de perdida,拓展思维,Expande tu pensamiento,亏亏问题,problema de perdida,4796,0.7696,4796,0,0.7696,,
35,中项定理应用,Aplicación del teorema del término medio,拓展思维,Expande tu pensamiento,中项定理应用,Aplicación del teorema del término medio,4779,0.796192,4706,73,0.797493,0.712329,-0.085164
237,拆数法构造分配律,Construyendo la ley distributiva mediante el método de división de números,拓展思维,Expande tu pensamiento,拆数法构造分配律,Método de descomposición de números para construir la propiedad distributiva,4759,0.791973,4331,428,0.785038,0.86215,0.077111
30,除法竖式,Forma vertical de división,拓展思维,Expande tu pensamiento,除法竖式,Forma vertical de división,4698,0.826522,4682,16,0.828279,0.3125,-0.515779
11,公式法长方形正方形周长,Método de fórmula del perímetro del cuadrado del rectángulo.,课内题型,Tipos de preguntas en clase,公式法长方形正方形周长,Método de fórmula del perímetro del cuadrado del rectángulo.,4652,0.812554,2810,1842,0.792527,0.843105,0.050579
121,特殊乘积,producto especial,拓展思维,Expande tu pensamiento,特殊乘积,producto especial,4564,0.824715,3926,638,0.825777,0.818182,-0.007595
16,分割图形（不需等分）,Divide el gráfico (no es necesario dividirlo en partes iguales),知识点,Puntos de conocimiento,分割图形（不需等分）,Divide el gráfico (no es necesario dividirlo en partes iguales),4493,0.756955,3499,994,0.749929,0.78169,0.031762
169,除法的实际应用,Aplicaciones prácticas de la división,课内题型,Tipos de preguntas en clase,已知两量之间倍数关系和两量之差，求两个量,"Dada la relación múltiple entre las dos cantidades y la diferencia entre las dos cantidades, encuentre las dos cantidades",4457,0.797397,4202,255,0.798667,0.776471,-0.022197
207,24点游戏,juego de veintiuna,拓展思维,Expande tu pensamiento,24点游戏,juego de veintiuna,4453,0.865259,4453,0,0.865259,,
340,小数的认识,Comprensión de los decimales.,拓展思维,Expande tu pensamiento,小数的认识,Comprensión de los decimales.,4448,0.926484,3330,1118,0.922823,0.937388,0.014565
231,减法竖式谜,Rompecabezas vertical de resta,拓展思维,Expande tu pensamiento,减法竖式谜,Rompecabezas vertical de resta,4407,0.777853,4037,370,0.762943,0.940541,0.177598
37,等差数列求公差,Encontrar la tolerancia de una secuencia aritmética,知识点,Puntos de conocimiento,等差数列求公差,Encontrar la tolerancia de una secuencia aritmética,4399,0.795181,4399,0,0.795181,,
236,整数四则混合运算,Cuatro operaciones aritméticas mixtas con números enteros,课内知识点,Puntos de conocimiento en clase,整数四则混合运算,Cuatro operaciones aritméticas mixtas con números enteros,4321,0.738718,4321,0,0.738718,,
43,认识线段,Reconocer segmentos de línea,拓展思维,Expande tu pensamiento,认识线段,Reconocer segmentos de línea,4253,0.781566,4158,95,0.777778,0.947368,0.169591
301,有序枚举,enumeración ordenada,拓展思维,Expande tu pensamiento,有序枚举,enumeración ordenada,4202,0.916468,4036,166,0.92443,0.722892,-0.201539
7,陷阱型不规则图形求周长,Calcular el perímetro de una figura irregular en forma de trampa,拓展思维,Expande tu pensamiento,陷阱型不规则图形求周长,Calcular el perímetro de una figura irregular en forma de trampa,4186,0.803631,4183,3,0.803968,0.333333,-0.470635
36,乘除法抵消,Cancelación de multiplicación y división.,拓展思维,Expande tu pensamiento,乘除法抵消,Cancelación de multiplicación y división.,4183,0.796079,4183,0,0.796079,,
229,火柴棒摆数,Número de cerillas,拓展思维,Expande tu pensamiento,火柴棒摆数,Número de cerillas,4129,0.548559,4111,18,0.549745,0.277778,-0.271967
313,一般组数问题,Problema general de número de grupo,知识点,Puntos de conocimiento,一般组数问题,Problema general de número de grupo,4125,0.658424,2783,1342,0.66475,0.645306,-0.019445
161,整数乘法巧算之分配律,La ley distributiva de la multiplicación de números enteros.,拓展思维,Expande tu pensamiento,整数乘法巧算之分配律,La ley distributiva de la multiplicación de números enteros.,4121,0.654695,4121,0,0.654695,,
241,长方形,rectángulo,拓展思维,Expande tu pensamiento,长方形,rectángulo,4064,0.77313,3900,164,0.773333,0.768293,-0.005041
3,染色计数问题,problema de conteo de tintes,拓展思维,Expande tu pensamiento,染色计数问题,problema de conteo de tintes,4062,0.72452,4056,6,0.724112,1.0,0.275888
402,直线和交点,Líneas e intersecciones,拓展思维,Expande tu pensamiento,直线和交点,Líneas e intersecciones,4031,0.695857,4031,0,0.695857,,
114,整除初识,primer conocido,拓展思维,Expande tu pensamiento,整除初识,primer conocido,3987,0.742162,2645,1342,0.756144,0.714605,-0.041539
468,倒扣型,Tipo de socavado,拓展思维,Expande tu pensamiento,倒扣型,Tipo de socavado,3978,0.776521,3978,0,0.776521,,
307,周期问题,problema de ciclo,拓展思维,Expande tu pensamiento,基本排列的周期问题,Problema básico del período de permutación,3962,0.796567,3800,162,0.790263,0.944444,0.154181
148,直接求平均数,Encuentra el promedio directamente,拓展思维,Expande tu pensamiento,直接求平均数,Encuentra el promedio directamente,3946,0.798784,3927,19,0.799593,0.631579,-0.168014
99,同时出发,Salir al mismo tiempo,拓展思维,Expande tu pensamiento,同时出发,Salir al mismo tiempo,3944,0.782961,3847,97,0.781908,0.824742,0.042834
209,特殊点或区域,punto o área especial,拓展思维,Expande tu pensamiento,特殊点或区域,punto o área especial,3834,0.726135,3204,630,0.742509,0.642857,-0.099652
205,添去括号,Agregar y quitar corchetes,拓展思维,Expande tu pensamiento,添去括号,Agregar y quitar corchetes,3777,0.864707,311,3466,0.665595,0.882574,0.216979
131,整数简易方程,Ecuaciones enteras simples,课内知识点,Puntos de conocimiento en clase,整数简易方程,Ecuaciones enteras simples,3719,0.836784,3719,0,0.836784,,
167,两量倍,el doble de la cantidad,课内题型,Tipos de preguntas en clase,两量倍,el doble de la cantidad,3685,0.7981,2978,707,0.763264,0.944837,0.181573
363,带余除法,División con resto,拓展思维,Expande tu pensamiento,带余除法,División con resto,3684,0.883008,2452,1232,0.904976,0.839286,-0.06569
176,变化的比多少应用题,¿Cuánto cambia la relación? preguntas de palabras,拓展思维,Expande tu pensamiento,变化的比多少应用题,¿Cuánto cambia la relación? preguntas de palabras,3672,0.682734,3672,0,0.682734,,
12,几何方法整体减空白,Método geométrico para reducir el espacio en blanco general,拓展思维,Expande tu pensamiento,几何方法整体减空白,Método geométrico para reducir el espacio en blanco general,3633,0.692265,1753,1880,0.720479,0.665957,-0.054522
248,整数乘除混合运算,Operaciones mixtas de multiplicación y división de números enteros.,拓展思维,Expande tu pensamiento,整数乘除混合运算,Operaciones mixtas de multiplicación y división de números enteros.,3537,0.872208,2533,1004,0.851954,0.923307,0.071353
127,时间总和问题,problema de suma de tiempo,拓展思维,Expande tu pensamiento,时间总和问题,problema de suma de tiempo,3499,0.745642,3499,0,0.745642,,
343,数、数位、数字的认识,"Conciencia de números, dígitos y números.",拓展思维,Expande tu pensamiento,数、数位、数字的认识,"Conciencia de números, dígitos y números.",3483,0.766868,3483,0,0.766868,,
349,字母表示数,las letras representan números,课内知识点,Puntos de conocimiento en clase,字母表示数,las letras representan números,3449,0.882865,2875,574,0.876174,0.916376,0.040202
39,扫雷游戏,juego buscaminas,拓展思维,Expande tu pensamiento,扫雷游戏,juego buscaminas,3414,0.785589,3414,0,0.785589,,
235,乘法结合律,ley asociativa multiplicativa,课内知识点,Puntos de conocimiento en clase,乘法交换律,ley conmutativa de la multiplicación,3385,0.841359,0,3385,,0.841359,
352,盈盈问题,Problema de Ying-Ying,拓展思维,Expande tu pensamiento,盈盈问题,Problema de Ying-Ying,3294,0.803886,3294,0,0.803886,,
69,数的周期,período numérico,拓展思维,Expande tu pensamiento,数的周期,período numérico,3289,0.784737,3183,106,0.781653,0.877358,0.095706
378,因数与倍数基础,Conceptos básicos de factores y múltiplos,拓展思维,Expande tu pensamiento,因数与倍数基础,Conceptos básicos de factores y múltiplos,3283,0.857447,3283,0,0.857447,,
471,路线遍历,recorrido de ruta,拓展思维,Expande tu pensamiento,路线遍历,recorrido de ruta,3210,0.861994,3181,29,0.86105,0.965517,0.104467
46,两端植树类型问题(段数大于10),Problemas con los tipos de plantación de árboles en ambos extremos (el número de segmentos es mayor a 10),拓展思维,Expande tu pensamiento,两端植树类型问题(段数大于10),Problemas con los tipos de plantación de árboles en ambos extremos (el número de segmentos es mayor a 10),3210,0.680685,2101,1109,0.603046,0.827773,0.224727
243,物品搭配（有特殊要求）,Coincidencia de artículos (con requisitos especiales),知识点,Puntos de conocimiento,物品搭配（有特殊要求）,Coincidencia de artículos (con requisitos especiales),3103,0.846278,2989,114,0.845099,0.877193,0.032094
303,排列组合,Permutación y combinación,课内知识点,Puntos de conocimiento en clase,排列组合,Permutación y combinación,3100,0.582258,3045,55,0.575369,0.963636,0.388267
134,一元一次方程解应用题,Resolver problemas verbales de ecuaciones lineales de una variable.,拓展思维,Expande tu pensamiento,一元一次方程解应用题,Resolver problemas verbales de ecuaciones lineales de una variable.,3081,0.741642,2487,594,0.73261,0.779461,0.046852
225,平行四边形面积公式,Fórmula del área del paralelogramo,课内知识点,Puntos de conocimiento en clase,平行四边形面积公式,Fórmula del área del paralelogramo,3070,0.762215,2286,784,0.809274,0.625,-0.184274
160,奇数与偶数的乘法规律,Reglas de multiplicación para números pares e impares.,拓展思维,Expande tu pensamiento,奇数与偶数的乘法规律,Reglas de multiplicación para números pares e impares.,3061,0.86475,3061,0,0.86475,,
119,表外乘法计算,Cálculo de multiplicación fuera de la tabla,拓展思维,Expande tu pensamiento,表外乘法计算,Cálculo de multiplicación fuera de la tabla,3023,0.799868,3018,5,0.799536,1.0,0.200464
146,乘法竖式,expresión vertical de multiplicación,拓展思维,Expande tu pensamiento,乘法竖式,expresión vertical de multiplicación,3022,0.780609,2949,73,0.781621,0.739726,-0.041895
311,两端植树类型问题(段数小于等于10),Problemas con la plantación de árboles en ambos extremos (número de segmentos menor o igual a 10),拓展思维,Expande tu pensamiento,两端植树类型问题(段数小于等于10),Problemas con la plantación de árboles en ambos extremos (número de segmentos menor o igual a 10),3012,0.783533,3001,11,0.784738,0.454545,-0.330193
240,年龄轴,eje de edad,拓展思维,Expande tu pensamiento,年龄轴,eje de edad,3009,0.768029,2969,40,0.768272,0.75,-0.018272
59,多量还原问题,Problema de restauración masiva,拓展思维,Expande tu pensamiento,多量还原问题,Problema de restauración masiva,3001,0.815062,3001,0,0.815062,,
38,整数除法巧算之提取公除数（普通型）,Cálculo inteligente de división de enteros para extraer el divisor común (tipo ordinario),拓展思维,Expande tu pensamiento,整数除法巧算之提取公除数（普通型）,Cálculo inteligente de división de enteros para extraer el divisor común (tipo ordinario),2989,0.857477,2838,151,0.863636,0.741722,-0.121915
193,多位小数的写法,Cómo escribir varios decimales,知识点,Puntos de conocimiento,多位小数的写法,Cómo escribir varios decimales,2981,0.913787,2981,0,0.913787,,
